Organization,Metro Arts & ABC 1988-89,Metro Arts & ABC 1989-90,Metro Arts & ABC 1990-91,Metro Arts & ABC 1991-92,Metro Arts & ABC 1992-93,Metro Arts & ABC 1993-94,Metro Arts & ABC 1994-95,Metro Arts & ABC 1995-96,Metro Arts & ABC 1996-97,Metro Arts & ABC 1997-98,Metro Arts & ABC 1998-99,Metro Arts & ABC 1999-00,Metro Arts & ABC 2000-01,Metro Arts & ABC 2001-02,Metro Arts & ABC 2002-03,Metro Arts & ABC 2003-04,Metro Arts & ABC 2004-05,Metro Arts & ABC 2005-06,Metro 2006-07,Metro 2007-08,Metro 2008-09,Metro 2009-10,Metro 2010-11,Metro 2011-12,Metro 2012-13,Metro 2013-14,Metro 2014-15,THRIVE 2014-15,Metro 2015-16,THRIVE 2015-16,Metro 2016-17,THRIVE 2016-17,Metro 2017-18,THRIVE 2017-18,Totals
Monroe Harding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,0,0,3800
Moves & Grooves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3827,0,12000,0,0,0,15827
Music City Blues Society,0,0,0,0,0,0,2525,4500,8000,6000,10600,16375,16845,19995,17426,14500,14300,6625,3712,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144366
Music City Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
Music City Youth Orchestra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,1800,0,0,4275,0,0,0,8850,0,17975
Music for L.I.F.E.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
Music For Seniors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9795,0,13445,0,15580,0,26000,0,64820
Music Programming for the Homeless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000
Musical History of Joe Hill and the Early Labor Movement Davidson County Tour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000
My Favorite Song!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,3500
N-4ART,0,0,0,0,7700,2000,2500,3500,3500,2250,3000,2000,2850,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31800
Napier-Sudekum Community Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,10200
Narrow Way Productions (NWP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,5700,8440,8600,9600,0,0,0,0,0,0,0,0,36340
Nashville 5-Shot Shorts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Nashville Artists Guild,0,1750,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750
