Organization,Metro Arts & ABC 1988-89,Metro Arts & ABC 1989-90,Metro Arts & ABC 1990-91,Metro Arts & ABC 1991-92,Metro Arts & ABC 1992-93,Metro Arts & ABC 1993-94,Metro Arts & ABC 1994-95,Metro Arts & ABC 1995-96,Metro Arts & ABC 1996-97,Metro Arts & ABC 1997-98,Metro Arts & ABC 1998-99,Metro Arts & ABC 1999-00,Metro Arts & ABC 2000-01,Metro Arts & ABC 2001-02,Metro Arts & ABC 2002-03,Metro Arts & ABC 2003-04,Metro Arts & ABC 2004-05,Metro Arts & ABC 2005-06,Metro 2006-07,Metro 2007-08,Metro 2008-09,Metro 2009-10,Metro 2010-11,Metro 2011-12,Metro 2012-13,Metro 2013-14,Metro 2014-15,THRIVE 2014-15,Metro 2015-16,THRIVE 2015-16,Metro 2016-17,THRIVE 2016-17,Metro 2017-18,THRIVE 2017-18,Totals
Drum and a Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
Drumnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
EarthTone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,2500
East Nashville Center For Creative Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
East Nashville Hope Exchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,0,2512,0,4250,0,0,0,8742
Eco Poetic Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000
Edgehill Center,0,0,0,1800,8000,25000,25000,10000,7000,10260,11000,0,8000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109060
Edgehill United Methodist Church,0,1000,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960
Educating Our Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,2000
End of Rodney Productions,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
Epiphany,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
Facing Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,4000
Faith and Culture Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3825,0,0,3825
Family & Children's Services,0,4000,2000,0,0,0,2000,1000,2500,0,3500,3485,5000,5000,5262,6500,14800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55047
L.A.S. Therapy Network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
FiftyForward,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,16026,0,1000,0,5000,3500,4500,4000,3650,3300,0,0,0,3900,0,0,0,46876
"Fisk University, Department of Music",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
"Fisk University, T.O.P.S.",2500,2000,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
"Fisk University, Van Vechten Gallery",3000,8000,8000,7000,4900,7500,10000,7500,15000,0,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85100
Flatrock Heritage Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,1800,0,0,0,0,0,0,0,0,0,0,0,5700
Friends of Centennial Park & Parthenon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
Friends of Warner Parks,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
Frist Center for the Visual Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,165000,228478,297025,284342,263832,228101,180000,174000,156500,150240,129000,125500,0,130500,0,152475,0,158000,0,2830993
From Nashville to the World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000
Girl Scout Council,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
Girls Write Nashville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,0,0,2850
Global Education Center,0,0,0,0,0,0,0,0,0,0,0,0,19945,34000,30873,31000,41000,24413,26589,16050,24591,20000,15500,26500,24000,27000,29491,0,30195,0,45455,0,56500,0,523102
Global Nashville: Building Bridges of Compassion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Gordon Jewish Community Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
Grand Master Fiddler Championship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2982,5498,6388,4400,6400,5800,4250,3400,3531,0,2870,0,4340,0,0,0,49859
Greater Nashville Arts Foundation,0,10000,8400,8000,30000,30000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93400
Green Room Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159
Hands on with Zig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Handweavers Guild,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000
Happy Healthy Creative Whole Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
Harriet Beecher Stowe: A Literary Soldier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000
Healing Arts Project Inc. (HAPI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9400,10237,0,9120,0,12285,0,16000,0,57042
Henna Art and Bollywood Junction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,4000
Hijab Ballet Showcase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Historic Germantown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444
Historic Nashville,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
History Alive!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Humanities Tennessee (formerly Tennessee Humanities Council),0,10000,3000,2000,10000,18000,15000,20000,25000,25000,18750,15000,14945,25000,22546,20000,0,16822,0,26539,31971,35600,21500,0,0,30000,30000,0,30000,0,0,3000,94500,0,564173
Ideaprov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371
Impressions Temporary Mural Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000
Indian Painting with Sabita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Insight Salons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
International Folk Dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Intersection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,9200,0,11700
JAI 2 HYPE - Just and Idea Arts Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Jefferson Street Art Crawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,4000
Jefferson Street United Merchants Partnership (JUMP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3259,3476,4500,4000,0,0,0,0,0,0,0,0,0,0,0,15235
John Work Memorial Foundation,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
Kids on the Block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
Lakewood Theatre Company,0,0,0,1000,2400,0,5184,2000,2000,3000,3500,4000,1500,5000,3250,2000,7500,3463,2042,1263,2586,5700,2500,2700,2850,2750,0,0,0,0,0,0,0,0,68188
Leonard Bernstein Center,0,0,0,0,0,0,0,17500,10000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34500
Lionheart Wellness Class and Dance-a-thon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,3500
Lipscomb University,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
Live Music in America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
Living Photo: Celebrating 100 Years of Old Hickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4000
Local's Cut: Edgehill Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
Lost Boys Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,10600,0,0,0,0,0,0,0,0,0,0,0,21600
Luthern Services in Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,2500
Madison Bluegrass Festival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,1400
Mapping McGruder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,4000
Martha O'Bryan Center,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,2610,0,0,0,0,0,21610
Metro Education Access Corporation (MEAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16667
Metro Nashville Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3300,4075,4400,0,0,4814,0,6065,0,0,0,26154
"Middle Tennessee Mental Health & Substance Abuse Coalition (program became indepent nonprofit Healing Arts Project, Inc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668,3476,4500,4000,4200,4550,0,0,0,0,0,0,0,0,0,23394
Mockingbird Public Theatre,0,0,0,0,0,0,0,0,0,0,16000,16124,15945,36505,40322,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162896
